#Sample	unique_to_file_1	unique_to_file_1_snp	unique_to_file_1_indel	unique_to_file_2	unique_to_file_2_snp	unique_to_file_2_indel	both_missing	common_context	common_context_snp	common_context_indel	common_context_discordant_id	called_and_same	called_and_same_hom_ref	called_and_same_hom_var	called_and_same_het	called_but_discordant	called_but_discordant_hom1_het2	called_but_discordant_het1_hom2	called_but_discordant_hom1_hom2	called_but_discordant_het1_het2
B00G5XG	10504	4505	5734	23981	16272	7709	1501	591988	546072	43647	50373	588753	516071	27167	45515	3235	2008	512	376	339
B00G74M	10489	4499	5728	24000	16290	7710	1629	591856	545923	43661	50387	588452	515549	28428	44475	3404	2175	525	356	348
B00G5XF	10490	4484	5748	23971	16262	7709	1444	592069	546133	43664	50372	588666	516513	27171	44982	3403	2199	516	348	340
B00G74L	10502	4483	5754	24000	16298	7702	1663	591809	545887	43661	50367	588259	514262	27189	46808	3550	2204	603	378	365
B00G5XE	10457	4474	5725	24036	16292	7744	1658	591823	545927	43630	50355	588410	515014	27369	46027	3413	2201	489	374	349
B00G74K	10481	4511	5711	24074	16345	7729	1690	591729	545858	43607	50342	588225	515257	27913	45055	3504	2278	518	382	326
B00G5XD	10531	4521	5747	23939	16231	7708	1524	591980	546033	43683	50370	588447	515202	27295	45950	3533	2256	558	369	350
B00G74J	10510	4504	5751	24035	16313	7722	1355	592074	546132	43669	50390	588626	515695	27759	45172	3448	2137	562	376	373
B00G5XC	10507	4516	5731	24031	16306	7725	1532	591904	546016	43648	50356	588440	515030	27765	45645	3464	2245	504	372	343
B00G74Q	10502	4518	5718	23997	16306	7691	1657	591818	545900	43647	50387	588458	514718	27666	46074	3360	2163	482	380	335
B00G752	10490	4504	5723	24000	16302	7698	1526	591958	546031	43661	50390	588606	515445	27202	45959	3352	2122	567	362	301
B00G5XB	10513	4512	5738	24078	16349	7729	1375	592008	546104	43644	50378	588389	515010	27594	45785	3619	2322	545	377	375
B00G74P	10513	4499	5755	23969	16221	7748	1777	591715	545845	43609	50319	588283	514177	27209	46897	3432	2213	518	371	330
B00G751	10520	4499	5754	23957	16279	7678	1619	591878	545941	43663	50369	588570	514721	26910	46939	3308	2036	523	396	353
B00G5XA	10490	4509	5719	24019	16298	7721	1623	591842	545939	43627	50349	588318	514975	27675	45668	3524	2267	524	377	356
B00G74O	10511	4503	5748	24018	16304	7714	1561	591884	545939	43670	50385	588261	514560	27331	46370	3623	2352	569	360	342
B00G750	10539	4518	5757	24036	16312	7724	1593	591806	545886	43649	50371	588374	515305	27514	45555	3432	2122	611	379	320
B00G74N	10490	4501	5727	24009	16282	7727	1544	591931	546004	43656	50375	588601	515976	27361	45264	3330	2116	501	355	358
B00G74E	10545	4529	5753	24031	16320	7711	1434	591964	546050	43650	50375	588606	515547	27661	45398	3358	2113	574	350	321
B00G74D	10610	4559	5789	23971	16277	7694	1070	592323	546295	43742	50435	589085	515329	27138	46618	3238	1962	568	346	362
B00G74C	10484	4497	5733	24050	16330	7720	1302	592138	546218	43658	50380	588757	515890	27245	45622	3381	2078	595	352	356
B00G74B	10477	4488	5728	24013	16294	7719	1744	591740	545893	43597	50324	588306	516056	27814	44436	3434	2195	544	364	331
B00G74I	10496	4495	5737	24018	16307	7711	1523	591937	546060	43609	50360	588492	516057	27818	44617	3445	2219	537	373	316
B00G5WY	10533	4509	5764	24075	16319	7756	1470	591896	546031	43622	50338	588247	515918	27357	44972	3649	2421	521	388	319
B00G5WX	10470	4469	5741	23964	16255	7709	1557	591983	546084	43632	50381	588466	515185	27188	46093	3517	2323	487	360	347
B00G5X9	10514	4505	5747	24061	16325	7736	1470	591929	546011	43651	50376	588424	514620	27652	46152	3505	2306	514	354	331
B00G74G	10557	4528	5768	24039	16292	7747	1408	591970	546088	43626	50356	588474	515812	28308	44354	3496	2294	507	380	315
B00G5X8	10526	4507	5755	24082	16348	7734	1324	592042	546127	43650	50369	587741	513951	26447	47343	4301	2964	618	337	382
B00G74F	10507	4502	5742	24029	16297	7732	1442	591996	546123	43621	50363	588473	515768	27207	45498	3523	2281	527	385	330
B00G5X6	10505	4510	5737	24037	16299	7738	1342	592090	546160	43659	50396	588478	515028	27676	45774	3612	2305	590	372	345
B00G5X4	10473	4494	5719	24035	16289	7746	1632	591834	545960	43616	50362	588222	515119	27497	45606	3612	2391	476	415	330
B00G5X5	10474	4487	5718	23959	16269	7690	1655	591886	545969	43661	50339	588371	515524	27665	45182	3515	2258	518	393	346
B00G5WQ	10456	4486	5712	23992	16288	7704	1702	591824	545919	43640	50322	588252	514787	27950	45515	3572	2274	546	392	360
B00G5X2	10495	4496	5731	24004	16304	7700	1602	591873	545979	43636	50354	588229	515367	28021	44841	3644	2421	505	384	334
B00G5WR	10506	4512	5737	24026	16316	7710	1611	591831	545920	43647	50337	588484	515418	27869	45197	3347	2123	535	365	324
B00G5X3	10521	4507	5759	24003	16296	7707	1322	592128	546204	43652	50397	588509	514806	27044	46659	3619	2366	559	378	316
B00G5WO	10534	4518	5755	24096	16363	7733	1526	591818	545914	43649	50351	588243	514655	26777	46811	3575	2254	577	380	364
B00G5WP	10507	4522	5724	24009	16308	7701	1687	591771	545888	43628	50346	588330	515293	27181	45856	3441	2243	488	380	330
B00G755	10498	4519	5718	24018	16332	7686	1748	591710	545832	43619	50362	588318	514796	27109	46413	3392	2171	517	346	358
B00G5WN	10516	4521	5735	24034	16314	7720	1482	591942	546046	43640	50371	588419	514970	27120	46329	3523	2320	517	352	334
B00G756	10486	4499	5729	24027	16304	7723	1750	591711	545815	43631	50351	588214	514704	27431	46079	3497	2227	548	363	359
B00G5WK	10523	4513	5750	24026	16307	7719	1362	592063	546161	43639	50367	588440	515770	27293	45377	3623	2381	547	350	345
B00G74R	10497	4497	5741	23914	16201	7713	1676	591887	546004	43631	50333	588283	515696	27670	44917	3604	2260	571	389	384
B00G753	10478	4485	5726	24033	16316	7717	1613	591850	545953	43618	50385	588457	515826	27117	45514	3393	2186	510	355	342
B00G754	10542	4523	5760	23987	16285	7702	1685	591760	545860	43637	50365	588255	514814	26904	46537	3505	2251	525	373	356
B00G759	10469	4502	5707	24084	16355	7729	1572	591849	545946	43640	50379	588352	514643	27534	46175	3497	2258	515	376	348
B00G757	10483	4494	5727	23975	16281	7694	1759	591757	545859	43631	50375	588437	515716	27259	45462	3320	2134	486	354	346
B00G74W	10687	4606	5814	23921	16260	7661	890	592476	546358	43802	50501	589300	515790	27412	46098	3176	1784	670	328	394
B00G758	10495	4523	5712	23982	16268	7714	1712	591785	545872	43655	50367	588418	515530	27263	45625	3367	2210	469	351	337
B00G73J	10590	4541	5786	23992	16269	7723	1245	592147	546210	43669	50397	588721	515438	27468	45815	3426	2121	617	326	362
B00G73I	10525	4512	5753	23952	16238	7714	1470	592027	546083	43667	50384	588571	515324	27178	46069	3456	2207	525	347	377
B00G73K	10527	4505	5759	24054	16332	7722	1309	592084	546147	43679	50389	588544	514979	27234	46331	3540	2281	582	334	343
B00G73N	10545	4530	5747	24066	16332	7734	1350	592013	546094	43659	50382	588450	515406	27671	45373	3563	2281	571	372	339
B00G73P	10514	4507	5744	24006	16299	7707	1426	592028	546117	43652	50357	588801	516884	27493	44424	3227	2028	515	373	311
B00G741	10427	4468	5701	23981	16265	7716	1917	591649	545796	43596	50326	588054	514978	26127	46949	3595	2286	595	376	338
B00G73O	10473	4499	5719	24022	16304	7718	1472	592007	546124	43621	50387	588768	516419	27050	45299	3239	2098	489	348	304
B00G740	10425	4479	5688	23962	16281	7681	2131	591456	545635	43564	50298	588211	514898	26781	46532	3245	2032	517	361	335
B00G73B	10480	4476	5743	23983	16280	7703	1563	591948	546017	43665	50370	588342	514603	27397	46342	3606	2362	533	364	347
B00G5VZ	10516	4503	5751	24042	16305	7737	1416	592000	546092	43624	50364	588442	515115	27752	45575	3558	2282	551	376	349
B00G73A	10482	4508	5715	23963	16247	7716	1454	592075	546125	43668	50406	588706	515405	27865	45436	3369	2129	528	376	336
B00G5VW	10479	4491	5731	24042	16311	7731	1546	591907	546041	43608	50384	588444	514795	26962	46687	3463	2190	545	364	364
B00G73F	10516	4513	5746	24074	16318	7756	1392	591992	546135	43594	50376	588529	515513	27160	45856	3463	2292	468	350	353
B00G5VV	10503	4505	5736	23973	16274	7699	1553	591945	546024	43652	50373	588329	514396	27313	46620	3616	2267	587	384	378
B00G73E	10515	4511	5746	24122	16363	7759	1351	591986	546079	43646	50363	588415	515378	27913	45124	3571	2334	525	388	324
B00G73H	10524	4501	5756	23987	16281	7706	1287	592176	546244	43655	50412	588677	515764	27879	45034	3499	2248	567	355	329
B00G5VX	10528	4534	5728	23982	16257	7725	1496	591968	546043	43654	50381	588478	514734	27676	46068	3490	2264	501	365	360
B00G73G	10513	4503	5753	24103	16364	7739	1472	591886	545990	43631	50353	588297	515192	27947	45158	3589	2340	553	370	326
B00G5VR	10506	4500	5741	24077	16328	7749	1733	591658	545801	43596	50339	588142	514159	27209	46774	3516	2276	503	380	357
B00G5W3	10482	4496	5727	23967	16266	7701	1523	592002	546116	43618	50389	588655	515657	27280	45718	3347	2121	504	402	320
B00G73Y	10488	4480	5750	24003	16286	7717	1617	591866	545957	43638	50373	588461	515329	28089	45043	3405	2153	547	362	343
B00G5VS	10508	4512	5727	23957	16279	7678	1625	591884	545992	43631	50379	588434	514607	27137	46690	3450	2152	573	381	344
B00G5W4	10521	4510	5751	23947	16278	7669	1432	592074	546135	43666	50387	588678	514903	27583	46192	3396	2166	524	371	335
B00G73Z	10511	4523	5728	23989	16254	7735	1604	591870	545981	43619	50357	588452	515770	27472	45210	3418	2211	519	349	339
B00G5W5	10489	4493	5739	24027	16290	7737	1686	591772	545905	43617	50332	588360	515838	27603	44919	3412	2188	501	401	322
B00G5VU	10476	4480	5733	23987	16275	7712	1617	591894	545986	43632	50370	588378	515589	26379	46410	3516	2313	509	362	332
B00G5W6	10536	4507	5768	24034	16330	7704	1427	591977	546063	43646	50354	588484	514705	27180	46599	3493	2194	569	386	344
B00G5VN	10486	4504	5728	24076	16334	7742	1476	591936	546028	43633	50393	588333	514617	27425	46291	3603	2390	532	364	317
B00G5VO	10489	4494	5732	23989	16241	7748	1711	591785	545914	43601	50381	588221	513813	27217	47191	3564	2336	516	359	353
B00G5VP	10468	4481	5724	24107	16396	7711	1738	591661	545810	43615	50330	588155	514847	27535	45773	3506	2258	528	383	337
B00G74A	10468	4488	5721	24061	16315	7746	1665	591780	545905	43609	50343	588484	516292	27479	44713	3296	2133	477	360	326
B00G5VJ	10517	4507	5753	24057	16350	7707	1609	591791	545885	43641	50337	588194	514874	27398	45922	3597	2324	582	370	321
B00G742	10492	4517	5717	24045	16362	7683	1847	591590	545669	43650	50352	588224	513959	27265	47000	3366	2097	514	393	362
B00G5VK	10493	4503	5735	24093	16370	7723	1502	591886	546000	43631	50354	588359	514684	27793	45882	3527	2233	587	387	320
B00G73R	10495	4502	5734	24007	16273	7734	1524	591948	546055	43629	50376	588565	515702	28229	44634	3383	2178	491	388	326
B00G743	10489	4494	5733	23995	16292	7703	1616	591874	545968	43641	50357	588481	515684	26831	45966	3393	2048	598	389	358
B00G5VL	10485	4481	5748	24016	16305	7711	1469	592004	546100	43650	50359	588598	516042	27296	45260	3406	2245	463	365	333
B00G73S	10458	4494	5699	23994	16294	7700	1524	591998	546071	43646	50380	588609	515039	27102	46468	3389	2115	562	358	354
B00G744	10478	4489	5728	23972	16259	7713	1739	591785	545878	43636	50360	588502	515436	27213	45853	3283	2084	500	368	331
B00G5VM	10505	4498	5743	23989	16284	7705	1479	592001	546081	43644	50360	588422	515037	27510	45875	3579	2425	501	335	318
B00G73T	10502	4507	5736	24010	16310	7700	1712	591750	545850	43640	50315	588390	515621	27564	45205	3360	2151	499	388	322
B00G745	10462	4471	5733	24085	16349	7736	1755	591672	545808	43602	50339	588222	514543	26925	46754	3450	2238	504	371	337
B00G5VF	10578	4542	5775	23972	16263	7709	1166	592258	546258	43705	50444	588722	515019	27243	46460	3536	2249	536	392	359
B00G73U	10467	4497	5714	24043	16334	7709	1376	592088	546152	43669	50388	588681	515468	27223	45990	3407	2139	540	376	352
B00G746	10491	4507	5725	24061	16350	7711	1597	591825	545917	43638	50340	588404	515396	27100	45908	3421	2149	553	357	362
B00G5VG	10490	4493	5736	24001	16279	7722	1623	591860	545987	43618	50361	588378	515111	27274	45993	3482	2237	498	390	357
B00G747	10459	4482	5710	24036	16309	7727	1936	591543	545701	43583	50328	588154	515038	26958	46158	3389	2117	574	361	337
B00G5VH	10525	4515	5743	23951	16250	7701	1789	591709	545811	43631	50353	588239	514769	27541	45929	3470	2262	507	360	341
B00G73W	10499	4513	5724	24000	16266	7734	1578	591897	546006	43635	50371	588561	516399	28241	43921	3336	2149	497	357	333
B00G748	10491	4511	5721	23999	16300	7699	1828	591656	545792	43600	50301	588542	515921	26752	45869	3114	1963	496	337	318
B00G5VI	10457	4492	5703	24034	16308	7726	1744	591739	545858	43621	50326	588353	515093	27530	45730	3386	2138	516	375	357
B00G73X	10483	4494	5734	24029	16276	7753	1456	592006	546119	43621	50366	588615	515301	27688	45626	3391	2166	524	354	347
B00G749	10500	4500	5739	24020	16316	7704	1526	591928	545992	43657	50374	588434	514906	27024	46504	3494	2241	546	344	363
B00G5VA	10468	4493	5707	24062	16357	7705	1691	591753	545879	43616	50336	588158	514415	27169	46574	3595	2318	523	404	350
B00G5VD	10530	4535	5731	24041	16315	7726	1420	591983	546080	43637	50390	588440	515465	27680	45295	3543	2310	524	365	344
B00G5VC	10508	4511	5739	24021	16289	7732	1660	591785	545906	43619	50361	588206	514533	27144	46529	3579	2333	529	381	336
B00G5VB	10511	4511	5736	24001	16250	7751	1856	591606	545700	43643	50303	588060	515560	27169	45331	3546	2355	510	333	348
B00G5UX	10505	4502	5739	23979	16253	7726	1781	591709	545795	43656	50340	588102	515105	27179	45818	3607	2338	562	346	361
B00G5V9	10499	4496	5747	23922	16215	7707	1703	591850	545927	43656	50349	588478	515364	26671	46443	3372	2173	524	356	319
B00G5V8	10485	4499	5723	24007	16305	7702	1937	591545	545682	43601	50298	588232	515332	27622	45278	3313	2071	536	366	340
B00G5UV	10517	4521	5741	23923	16260	7663	1551	591983	546090	43633	50380	588622	515374	27374	45874	3361	2179	481	373	328
B00G5V7	10476	4488	5727	23976	16272	7704	1824	591698	545837	43600	50344	588283	515042	27009	46232	3415	2188	495	360	372
B00G5UU	10525	4519	5748	24064	16356	7708	1607	591778	545918	43600	50376	588205	515226	27714	45265	3573	2301	559	395	318
B00G5V6	10510	4491	5759	24061	16314	7747	1372	592031	546138	43618	50366	588600	515419	27437	45744	3431	2219	503	380	329
B00G5UZ	10479	4494	5728	23957	16271	7686	1778	591760	545854	43635	50317	588431	514888	27304	46239	3329	2117	534	343	335
B00G5UY	10517	4493	5761	24011	16286	7725	1573	591873	545963	43642	50330	588432	516045	27557	44830	3441	2262	514	357	308
B00G5UO	10523	4497	5762	24018	16302	7716	1355	592078	546159	43644	50362	588526	515655	27224	45647	3552	2344	518	351	339
B00G5V0	10429	4453	5716	24083	16376	7707	2110	591352	545532	43575	50284	587923	514318	26893	46712	3429	2257	484	346	342
B00G5UP	10449	4492	5698	23947	16240	7707	1632	591946	546048	43625	50369	588583	515790	27033	45760	3363	2155	522	357	329
B00G5V1	10520	4510	5745	23906	16224	7682	1865	591683	545770	43635	50344	588354	514804	27200	46350	3329	2091	499	398	341
B00G5V4	10471	4506	5706	24095	16378	7717	1586	591822	545940	43622	50362	588260	515421	27511	45328	3562	2288	524	391	359
B00G5UT	10562	4546	5761	24021	16316	7705	1107	592284	546276	43720	50435	588753	514811	27852	46090	3531	2094	664	393	380
B00G5V5	10483	4497	5732	23996	16271	7725	1791	591704	545823	43624	50330	588192	514860	26943	46389	3512	2234	557	363	358
B00G5UQ	10485	4495	5733	23965	16287	7678	1813	591711	545828	43618	50323	588165	515133	27111	45921	3546	2303	545	353	345
B00G5V2	10505	4518	5723	23897	16181	7716	1940	591632	545730	43647	50290	588217	515000	27777	45440	3415	2204	494	374	343
B00G5UR	10533	4516	5751	23954	16264	7690	1793	591694	545761	43663	50326	588128	513947	26975	47206	3566	2348	504	360	354
B00G5UL	10572	4527	5782	24063	16344	7719	1103	592236	546254	43707	50410	588797	514920	27635	46242	3439	2114	605	371	349
B00FWXD	10507	4495	5751	24015	16294	7721	1547	591905	545972	43654	50355	588330	514511	27302	46517	3575	2266	576	347	386
B00FWXC	10502	4509	5737	24013	16293	7720	1750	591709	545794	43652	50343	588273	514505	27463	46305	3436	2069	622	389	356
B00FWXB	10484	4488	5739	23995	16278	7717	1496	591999	546086	43645	50342	588516	515050	27542	45924	3483	2207	594	370	312
B00FWWW	10507	4503	5750	24013	16286	7727	1508	591946	546017	43665	50361	588629	514802	28278	45549	3317	2057	547	405	308
B00FWWV	10526	4505	5760	23990	16274	7716	1363	592095	546170	43655	50388	588579	515250	27389	45940	3516	2231	588	364	333
B00FWX7	10513	4512	5744	23992	16269	7723	1533	591936	546019	43656	50397	588491	515198	27769	45524	3445	2139	600	373	333
B00FWWU	10488	4508	5721	23984	16268	7716	2015	591487	545613	43610	50294	588048	515059	27401	45588	3439	2132	573	363	371
B00FWWT	10500	4500	5736	23976	16279	7697	1477	592021	546091	43668	50370	588672	515874	27304	45494	3349	2070	568	358	353
B00FWX5	10483	4483	5745	24031	16302	7729	1562	591898	546011	43623	50381	588500	514824	27594	46082	3398	2135	544	363	356
B00FWX9	10542	4522	5755	23992	16286	7706	1688	591752	545880	43609	50338	588355	515496	27044	45815	3397	2150	560	368	319
B00GG8V	10494	4514	5713	24044	16329	7715	1424	592012	546082	43672	50378	588697	516109	27868	44720	3315	2150	502	365	298
B00FWWN	10485	4496	5729	24065	16342	7723	1691	591733	545898	43579	50333	588395	515400	27091	45904	3338	2066	539	387	346
B00GG8W	10538	4535	5745	24076	16336	7740	1178	592182	546245	43670	50404	588958	516057	27194	45707	3224	2033	492	363	336
B00FWWO	10458	4491	5709	24052	16332	7720	2030	591434	545603	43572	50283	588080	515122	26962	45996	3354	2107	542	338	367
B00FWX0	10518	4504	5753	24004	16300	7704	1715	591737	545799	43659	50341	588538	515050	27122	46366	3199	1933	556	352	358
B00GG8X	10554	4516	5773	24006	16301	7705	1206	592208	546245	43689	50406	588916	515489	27808	45619	3292	2102	477	361	352
B00FWWL	10476	4486	5732	24008	16295	7713	1707	591783	545902	43637	50367	588440	514825	27118	46497	3343	2039	578	379	347
B00GG8Y	10518	4532	5722	24009	16306	7703	1398	592049	546103	43675	50385	588668	515604	28102	44962	3381	2077	554	405	345
B00FWWM	10496	4499	5736	24023	16274	7749	1607	591848	545955	43625	50350	588630	515573	27064	45993	3218	1987	526	378	327
B00GG8Z	10400	4452	5687	24811	16918	7893	1286	591477	545692	43546	50288	587181	514806	27076	45299	4296	2918	659	367	352
B00FWX4	10533	4519	5751	23991	16277	7714	1344	592106	546193	43645	50415	588807	515183	27537	46087	3299	2027	575	358	339
B00FWWP	10503	4494	5753	24011	16291	7720	1516	591944	546034	43652	50335	588471	515229	27506	45736	3473	2219	560	358	336
B00FWX1	10546	4531	5755	24021	16313	7708	1471	591936	545976	43689	50375	588449	515245	26825	46379	3487	2131	577	371	408
B00FWWQ	10493	4506	5723	23954	16262	7692	1715	591812	545884	43654	50353	588425	514814	26755	46856	3387	2054	556	378	399
B00FWX2	10509	4504	5738	24072	16341	7731	1492	591901	545983	43660	50371	588484	515217	27473	45794	3417	2143	588	347	339
B00FWWG	10513	4514	5741	24063	16343	7720	1552	591846	545917	43658	50336	588432	514062	27516	46854	3414	2111	583	344	376
B00FWWD	10486	4480	5749	23918	16242	7676	1707	591863	545928	43661	50369	588403	514974	27095	46334	3460	2122	601	355	382
